RegionID,RegionName,State,Metro,CountyName,SizeRank,% increase over 1996 to 2016
28431,Kelseyville,CA,Clearlake,Lake,4002,215.0%
28458,Keyes,CA,Modesto,Stanislaus,9484,220.7%
28485,Highland,CA,Riverside,San Bernardino,889,284.4%
28512,Hilmar,CA,Merced,Merced,5201,257.5%
28730,Guerneville,CA,Santa Rosa,Sonoma,6464,298.7%
28774,Half Moon Bay,CA,San Francisco,San Mateo,3009,312.5%
29059,Penn Valley,CA,Truckee,Nevada,4439,206.6%
29124,Mendocino,CA,Ukiah,Mendocino,8050,#DIV/0!
29143,Lincoln,CA,Sacramento,Placer,921,284.7%
29158,Planada,CA,Merced,Merced,9741,180.6%
29189,Littlerock,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3459,264.6%
29320,Strathmore,CA,Visalia,Tulare,4895,190.4%
29343,Santa Ysabel,CA,San Diego,San Diego,10453,249.9%
29400,Tahoe Vista,CA,Sacramento,Placer,8935,273.9%
29536,Sloughhouse,CA,Sacramento,Sacramento,5083,237.0%
29712,Hermosa Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,2251,431.4%
29737,Norco,CA,Riverside,Riverside,1551,291.2%
30025,Marina,CA,Salinas,Monterey,2120,264.8%
30105,Kerman,CA,Fresno,Fresno,2398,232.8%
30145,Alamo,CA,San Francisco,Contra Costa,2452,313.2%
30187,Altadena,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1167,375.2%
30267,Artesia,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,2467,328.5%
30280,Atherton,CA,San Francisco,San Mateo,4560,#DIV/0!
30306,Avila Beach,CA,San Luis Obispo,San Luis Obispo,10511,382.0%
30399,Bell,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1237,264.9%
30417,Ben Lomond,CA,Santa Cruz,Santa Cruz,5626,#DIV/0!
30459,Big Bear City,CA,Riverside,San Bernardino,3466,265.0%
30526,Bonita,CA,San Diego,San Diego,2630,278.3%
30642,Buellton,CA,Santa Maria-Santa Barbara,Santa Barbara,5664,332.6%
30663,Burney,CA,Redding,Shasta,7821,#DIV/0!
30748,Capitola,CA,Santa Cruz,Santa Cruz,4284,386.3%
30785,Castro Valley,CA,San Francisco,Alameda,917,351.7%
30788,Cathedral City,CA,Riverside,Riverside,871,291.1%
30908,Claremont,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1586,307.2%
31134,Cudahy,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1947,262.4%
31163,Daly City,CA,San Francisco,San Mateo,315,351.2%
31233,Discovery Bay,CA,San Francisco,Contra Costa,4668,228.6%
31623,Foster City,CA,San Francisco,San Mateo,1353,422.4%
31854,Greenfield,CA,Salinas,Monterey,2426,200.2%
31888,Guadalupe,CA,Santa Maria-Santa Barbara,Santa Barbara,4697,#DIV/0!
31994,Heber,CA,El Centro,Imperial,4722,181.1%
32133,Idyllwild,CA,Riverside,Riverside,10203,#DIV/0!
32380,Lake Forest,CA,Los Angeles-Long Beach-Anaheim,Orange,520,#DIV/0!
32510,Linden,CA,Stockton,San Joaquin,7075,221.3%
32540,Livermore,CA,San Francisco,Alameda,378,334.7%
32578,Los Altos Hills,CA,San Jose,Santa Clara,4373,330.7%
32616,Lynwood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,578,271.9%
32629,Madera,CA,Madera,Madera,312,204.6%
32753,Maywood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1705,287.6%
32910,Mojave,CA,Bakersfield,Kern,5511,176.6%
32923,Monrovia,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1008,359.3%
32927,Montclair,CA,Riverside,San Bernardino,1181,316.1%
32942,Moraga,CA,San Francisco,Contra Costa,3360,319.6%
32988,Mount Shasta,CA,,Siskiyou,6725,#DIV/0!
32999,Mountain View,CA,San Jose,Santa Clara,482,485.7%
33252,Orange,CA,Los Angeles-Long Beach-Anaheim,Orange,208,342.9%
33300,Pacific Grove,CA,Salinas,Monterey,2738,290.9%
33306,Palm Desert,CA,Riverside,Riverside,929,194.6%
33311,Palos Verdes Estates,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,4052,326.7%
33312,Palos Verdes Peninsula,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,9546,298.7%
33612,Redondo Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,552,344.7%
33645,Rialto,CA,Riverside,San Bernardino,354,324.7%
33679,Riverdale,CA,Fresno,Fresno,4351,180.8%
33727,Rolling Hills Estates,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,8142,297.1%
33836,San Dimas,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1411,317.3%
33837,San Gabriel,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,671,356.0%
33839,San Jose,CA,San Jose,Santa Clara,9,366.5%
33840,San Juan Capistrano,CA,Los Angeles-Long Beach-Anaheim,Orange,1244,310.4%
33846,San Martin,CA,San Jose,Santa Clara,5209,296.0%
33847,San Miguel,CA,San Luis Obispo,San Luis Obispo,5450,226.3%
33874,Saratoga,CA,San Jose,Santa Clara,1397,385.2%
33910,Sebastopol,CA,Santa Rosa,Sonoma,1632,361.2%
33935,Selma,CA,Fresno,Fresno,1366,204.1%
34030,Solvang,CA,Santa Maria-Santa Barbara,Santa Barbara,4640,291.2%
34037,Somis,CA,Ventura,Ventura,7353,287.5%
34197,Sutter Creek,CA,,Amador,10281,#DIV/0!
34252,Terra Bella,CA,Visalia,Tulare,5219,#DIV/0!
34278,Thousand Oaks,CA,Ventura,Ventura,471,287.0%
34285,Tiburon,CA,San Francisco,Marin,3721,#DIV/0!
34295,Tipton,CA,Visalia,Tulare,7936,211.0%
34520,Vallejo,CA,Vallejo,Solano,236,270.1%
34543,Ventura,CA,Ventura,Ventura,264,305.7%
34636,Walnut,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1475,330.9%
34637,Walnut Creek,CA,San Francisco,Contra Costa,464,335.6%
34757,West Point,CA,,Calaveras,9345,242.7%
34780,Westminster,CA,Los Angeles-Long Beach-Anaheim,Orange,486,357.4%
34907,Woodside,CA,San Francisco,San Mateo,3886,410.0%
34940,Yuba City,CA,Yuba City,Sutter,553,213.2%
35059,Coulterville,CA,,Mariposa,9731,#DIV/0!
35591,Lathrop,CA,Stockton,San Joaquin,2457,233.5%
35618,Ione,CA,,Amador,10110,230.4%
35623,Diamond Springs,CA,Sacramento,El Dorado,6509,221.8%
35629,Fawnskin,CA,Riverside,San Bernardino,10479,286.5%
35723,Joshua Tree,CA,Riverside,San Bernardino,3945,253.9%
35927,Patterson,CA,Modesto,Stanislaus,1780,212.8%
36036,Ripon,CA,Stockton,San Joaquin,3903,246.4%
36078,Pinon Hills,CA,Riverside,San Bernardino,7565,236.1%
36187,Prather,CA,Fresno,Fresno,10677,192.8%
36288,Windsor,CA,Santa Rosa,Sonoma,1678,284.8%
36324,Tahoma,CA,Sacramento,El Dorado,10678,#DIV/0!
36355,Woodlake,CA,Visalia,Tulare,3836,209.5%
36395,Three Rivers,CA,Visalia,Tulare,9180,#DIV/0!
36412,Wasco,CA,Bakersfield,Kern,1613,224.6%
36429,Tollhouse,CA,Fresno,Fresno,8555,170.8%
36502,South El Monte,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,2088,308.9%
36958,Pinole,CA,San Francisco,Contra Costa,2856,283.9%
37015,Azusa,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,735,296.5%
37073,Albany,CA,San Francisco,Alameda,2207,398.5%
37086,Aliso Viejo,CA,Los Angeles-Long Beach-Anaheim,Orange,918,#DIV/0!
37206,Atascadero,CA,San Luis Obispo,San Luis Obispo,1393,281.4%
37688,Calabasas,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,2734,280.9%
37863,Chico,CA,Chico,Butte,267,239.6%
37971,Colton,CA,Riverside,San Bernardino,743,305.7%
38032,Costa Mesa,CA,Los Angeles-Long Beach-Anaheim,Orange,259,347.3%
38070,Crestline,CA,Riverside,San Bernardino,4772,248.6%
38134,Danville,CA,San Francisco,Contra Costa,893,319.6%
38169,Del Rey Oaks,CA,Salinas,Monterey,8474,266.3%
38333,El Cajon,CA,San Diego,San Diego,156,286.8%
38491,Farmersville,CA,Visalia,Tulare,4545,194.9%
38563,Foresthill,CA,Sacramento,Placer,7489,239.1%
38965,Hercules,CA,San Francisco,Contra Costa,2455,278.1%
38980,Hidden Hills,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,9246,261.4%
39076,Huntington Park,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,528,254.6%
39082,Huron,CA,Fresno,Fresno,5072,197.5%
39132,Jackson,CA,,Amador,6404,#DIV/0!
39222,Kensington,CA,San Francisco,Contra Costa,5275,#DIV/0!
39301,La Honda,CA,San Francisco,San Mateo,10014,#DIV/0!
39306,La Puente,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1045,304.0%
39308,La Verne,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1784,318.1%
39483,Lodi,CA,Stockton,San Joaquin,570,232.8%
39511,Los Altos,CA,San Jose,Santa Clara,1458,454.2%
39704,Mc Farland,CA,Bakersfield,Kern,2952,224.8%
39748,Menlo Park,CA,San Francisco,San Mateo,1067,467.5%
39798,Milpitas,CA,San Jose,Santa Clara,585,382.8%
39840,Monte Sereno,CA,San Jose,Santa Clara,6987,388.6%
39843,Montecito,CA,Santa Maria-Santa Barbara,Santa Barbara,5410,#DIV/0!
39870,Morongo Valley,CA,Riverside,San Bernardino,5813,235.2%
39879,Morro Bay,CA,San Luis Obispo,San Luis Obispo,3964,#DIV/0!
40081,North Tustin,CA,Los Angeles-Long Beach-Anaheim,Orange,1963,314.3%
40110,Oak View,CA,Ventura,Ventura,6190,296.6%
40227,Palmdale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,157,249.3%
40242,Paradise,CA,Chico,Butte,1817,224.7%
40355,Pittsburg,CA,San Francisco,Contra Costa,499,286.4%
40414,Porterville,CA,Visalia,Tulare,513,200.9%
40492,Rancho Cucamonga,CA,Riverside,San Bernardino,147,300.7%
40493,Rancho Mirage,CA,Riverside,Riverside,2534,202.3%
40516,Red Bluff,CA,Red Bluff,Tehama,1750,212.7%
40524,Redlands,CA,Riverside,San Bernardino,502,296.4%
40576,Rio Vista,CA,Vallejo,Solano,6771,238.8%
40633,Rosamond,CA,Bakersfield,Kern,2145,217.4%
40731,San Andreas,CA,,Calaveras,8011,#DIV/0!
40737,San Marcos,CA,San Diego,San Diego,560,298.5%
40754,Sanger,CA,Fresno,Fresno,1275,192.7%
40964,Soquel,CA,Santa Cruz,Santa Cruz,4832,300.5%
40979,South Lake Tahoe,CA,Sacramento,El Dorado,1465,301.5%
41025,Spring Valley,CA,San Diego,San Diego,564,292.1%
41200,Templeton,CA,San Luis Obispo,San Luis Obispo,5057,315.3%
41317,Twentynine Palms,CA,Riverside,San Bernardino,2555,#DIV/0!
41333,Union City,CA,San Francisco,Alameda,586,360.6%
41446,Vacaville,CA,Vallejo,Solano,301,269.1%
41517,Vista,CA,San Diego,San Diego,262,308.6%
41665,West Sacramento,CA,Sacramento,Yolo,848,279.5%
41673,Westlake Village,CA,Ventura,Ventura,2329,276.1%
41854,Carmel,CA,Salinas,Monterey,3225,311.4%
41987,Brisbane,CA,San Francisco,San Mateo,5829,320.5%
42091,Bell Canyon,CA,Ventura,Ventura,9857,#DIV/0!
42150,Hawthorne,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,419,338.9%
42528,Montara,CA,San Francisco,San Mateo,10245,311.8%
42569,Orinda,CA,San Francisco,Contra Costa,3113,363.1%
42819,North Fork,CA,Madera,Madera,7514,#DIV/0!
42967,Stanton,CA,Los Angeles-Long Beach-Anaheim,Orange,1633,330.4%
43102,Taft,CA,Bakersfield,Kern,2358,201.9%
43354,Ramona,CA,San Diego,San Diego,1120,271.1%
43361,Redwood Valley,CA,Ukiah,Mendocino,5436,276.8%
43627,El Dorado,CA,Sacramento,El Dorado,7781,265.2%
43832,Aguanga,CA,Riverside,Riverside,9870,202.4%
43867,Alpine,CA,San Diego,San Diego,3192,257.5%
43915,Applegate,CA,Sacramento,Placer,9928,241.0%
43944,Aromas,CA,Salinas,Monterey,6989,273.8%
44048,Bass Lake,CA,Madera,Madera,10180,#DIV/0!
44116,Bellflower,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,484,297.5%
44131,Benicia,CA,Vallejo,Solano,1936,304.0%
